COMMERICAL ZIP ANALYSIS,,,,,,,,,,,,,,,,,,,,,
PF,(All),,,,,,,,,,,,,,,,,,,,
PV bus #,(All),,,,,,,,,,,,,,,,,,,,
,,,,,,Power Factor,,,,,,PV Bus Location,,,,,,,,,
Row Labels,Average of % reduction in P,Average of Load bus (5) pu (no CVR),Average of Load bus (5) pu (CVR),,Hour,0.9,0.95,0.98,Avg,,Hour,3,4,5,Avg,,,,,,
1,-2.738%,1.008,0.980,0.97,1,2.131%,2.865%,3.218%,2.738%,,1,1.848%,2.687%,3.679%,2.738%,,,,,,
2,-2.957%,1.009,0.979,0.97,2,2.574%,3.063%,3.233%,2.957%,,2,1.963%,3.128%,3.779%,2.957%,,,,,,
3,-2.975%,1.010,0.980,0.97,3,2.601%,3.084%,3.241%,2.975%,,3,1.964%,3.128%,3.834%,2.975%,,,,,,
4,-2.977%,1.010,0.980,0.97,4,2.603%,3.086%,3.242%,2.977%,,4,1.964%,3.128%,3.838%,2.977%,,,,,,
5,-2.949%,1.009,0.979,0.97,5,2.563%,3.055%,3.230%,2.949%,,5,1.963%,3.128%,3.756%,2.949%,,,,,,
6,-2.692%,1.006,0.979,0.97,6,2.065%,2.813%,3.198%,2.692%,,6,1.847%,2.687%,3.543%,2.692%,,,,,,
7,-2.580%,1.003,0.976,0.97,7,1.908%,2.687%,3.147%,2.580%,,7,1.841%,2.685%,3.214%,2.580%,,,,,,
8,-2.308%,1.000,0.977,0.97,8,1.265%,2.590%,3.068%,2.308%,,8,1.617%,2.353%,2.953%,2.308%,,,,,,
9,-2.203%,0.999,0.977,0.97,9,1.234%,2.533%,2.843%,2.203%,,9,1.577%,2.165%,2.868%,2.203%,,,,,,
10,-2.070%,0.999,0.978,0.97,10,1.222%,2.228%,2.761%,2.070%,,10,1.518%,1.879%,2.814%,2.070%,,,,,,
11,-2.024%,0.999,0.978,0.97,11,1.209%,2.178%,2.683%,2.024%,,11,1.457%,1.852%,2.762%,2.024%,,,,,,
12,-1.967%,0.998,0.979,0.97,12,1.197%,2.067%,2.636%,1.967%,,12,1.353%,1.831%,2.716%,1.967%,,,,,,
13,-1.969%,0.998,0.978,0.97,13,1.191%,2.071%,2.645%,1.969%,,13,1.362%,1.837%,2.708%,1.969%,,,,,,
14,-1.979%,0.998,0.978,0.97,14,1.189%,2.086%,2.662%,1.979%,,14,1.377%,1.846%,2.714%,1.979%,,,,,,
15,-2.001%,0.998,0.978,0.97,15,1.178%,2.111%,2.715%,2.001%,,15,1.427%,1.874%,2.703%,2.001%,,,,,,
16,-1.990%,0.997,0.976,0.97,16,1.129%,2.082%,2.759%,1.990%,,16,1.463%,1.892%,2.615%,1.990%,,,,,,
17,-1.949%,0.995,0.975,0.97,17,1.055%,2.031%,2.762%,1.949%,,17,1.493%,1.908%,2.446%,1.949%,,,,,,
18,-1.933%,0.994,0.974,0.97,18,1.025%,2.011%,2.763%,1.933%,,18,1.509%,1.916%,2.373%,1.933%,,,,,,
19,-1.942%,0.994,0.975,0.97,19,1.034%,2.019%,2.774%,1.942%,,19,1.513%,1.918%,2.395%,1.942%,,,,,,
20,-1.965%,0.995,0.975,0.97,20,1.062%,2.041%,2.792%,1.965%,,20,1.513%,1.919%,2.463%,1.965%,,,,,,
21,-2.014%,0.996,0.976,0.97,21,1.123%,2.089%,2.830%,2.014%,,21,1.514%,1.919%,2.610%,2.014%,,,,,,
22,-2.300%,0.999,0.976,0.97,22,1.245%,2.586%,3.068%,2.300%,,22,1.631%,2.363%,2.905%,2.300%,,,,,,
23,-2.598%,1.003,0.977,0.97,23,1.927%,2.703%,3.162%,2.598%,,23,1.845%,2.687%,3.262%,2.598%,,,,,,
24,-2.682%,1.006,0.979,0.97,24,2.050%,2.801%,3.193%,2.682%,,24,1.847%,2.687%,3.511%,2.682%,,,,,,
Grand Total,-2.323%,1.001,0.978,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,, ,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
RESIDENTIAL ZIP ANALYSIS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PF,(All),,,,,,,,,,,,,,,,,,,,
PV bus #,(All),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Row Labels,Average of % reduction in P,Average of Load bus (5) pu (no CVR),Average of Load bus (5) pu (CVR),,,Power Factor,,,,,,PV Bus Location,,,,,,,,,
1,-2.872%,1.008,0.981,,Hour,0.9,0.95,0.98,Avg,,Hour,3,4,5,Avg,,Avg of both res and comm,,,,
2,-3.098%,1.009,0.980,,1,2.244%,3.006%,3.367%,2.872%,,1,1.912%,2.813%,3.891%,2.872%,2.738%,2.805%,,,,
3,-3.118%,1.010,0.980,,2,2.698%,3.216%,3.381%,3.098%,,2,2.028%,3.271%,3.996%,3.098%,2.957%,3.028%,,,,
4,-3.119%,1.010,0.980,,3,2.726%,3.237%,3.389%,3.118%,,3,2.029%,3.271%,4.053%,3.118%,2.975%,3.047%,,,,
5,-3.090%,1.009,0.979,,4,2.728%,3.239%,3.390%,3.119%,,4,2.029%,3.271%,4.058%,3.119%,2.977%,3.048%,,,,
6,-2.825%,1.006,0.979,,5,2.687%,3.207%,3.378%,3.090%,,5,2.028%,3.271%,3.972%,3.090%,2.949%,3.020%,,,,
7,-2.711%,1.003,0.977,,6,2.175%,2.952%,3.347%,2.825%,,6,1.911%,2.814%,3.748%,2.825%,2.692%,2.758%,,,,
8,-2.426%,1.000,0.977,,7,2.010%,2.820%,3.304%,2.711%,,7,1.904%,2.815%,3.415%,2.711%,2.580%,2.646%,,,,
9,-2.372%,0.999,0.977,,8,1.337%,2.719%,3.223%,2.426%,,8,1.673%,2.466%,3.140%,2.426%,2.308%,2.367%,,,,
10,-2.260%,0.999,0.977,,9,1.305%,2.658%,3.153%,2.372%,,9,1.631%,2.438%,3.047%,2.372%,2.203%,2.288%,,,,
11,-2.127%,0.999,0.978,,10,1.292%,2.595%,2.893%,2.260%,,10,1.568%,2.224%,2.989%,2.260%,2.070%,2.165%,,,,
12,-2.090%,0.998,0.979,,11,1.278%,2.287%,2.816%,2.127%,,11,1.507%,1.942%,2.932%,2.127%,2.024%,2.075%,,,,
13,-2.092%,0.998,0.978,,12,1.265%,2.239%,2.767%,2.090%,,12,1.467%,1.920%,2.884%,2.090%,1.967%,2.029%,,,,
14,-2.079%,0.998,0.978,,13,1.258%,2.243%,2.775%,2.092%,,13,1.476%,1.925%,2.876%,2.092%,1.969%,2.031%,,,,
15,-2.105%,0.998,0.978,,14,1.256%,2.190%,2.790%,2.079%,,14,1.422%,1.933%,2.881%,2.079%,1.979%,2.029%,,,,
16,-2.093%,0.997,0.977,,15,1.245%,2.227%,2.843%,2.105%,,15,1.478%,1.965%,2.872%,2.105%,2.001%,2.053%,,,,
17,-2.053%,0.995,0.975,,16,1.194%,2.194%,2.892%,2.093%,,16,1.515%,1.986%,2.779%,2.093%,1.990%,2.042%,,,,
18,-2.036%,0.994,0.975,,17,1.115%,2.142%,2.903%,2.053%,,17,1.549%,2.006%,2.604%,2.053%,1.949%,2.001%,,,,
19,-2.046%,0.994,0.975,,18,1.083%,2.121%,2.904%,2.036%,,18,1.566%,2.015%,2.527%,2.036%,1.933%,1.984%,,,,
20,-2.070%,0.995,0.975,,19,1.092%,2.129%,2.915%,2.046%,,19,1.570%,2.017%,2.550%,2.046%,1.942%,1.994%,,,,
21,-2.121%,0.996,0.976,,20,1.122%,2.152%,2.934%,2.070%,,20,1.571%,2.017%,2.622%,2.070%,1.965%,2.017%,,,,
22,-2.419%,0.999,0.976,,21,1.187%,2.203%,2.974%,2.121%,,21,1.571%,2.016%,2.777%,2.121%,2.014%,2.068%,,,,
23,-2.724%,1.003,0.977,,22,1.316%,2.715%,3.225%,2.419%,,22,1.690%,2.478%,3.088%,2.419%,2.300%,2.359%,,,,
24,-2.814%,1.006,0.979,,23,2.031%,2.838%,3.304%,2.724%,,23,1.909%,2.817%,3.447%,2.724%,2.598%,2.661%,,,,
Grand Total,-2.448%,1.001,0.978,,24,2.160%,2.939%,3.342%,2.814%,,24,1.911%,2.815%,3.716%,2.814%,2.682%,2.748%,,,,
